23:58:39 | Микроклимат 501 3 | Авария управления
9:17:39 | Микроклимат 501 3 | Авария управления
9:18:39 | Микроклимат 501 3 | Авария управления
9:19:39 | Микроклимат 501 3 | Авария управления
9:20:39 | Микроклимат 501 3 | Авария управления
9:21:39 | Микроклимат 501 3 | Авария управления
9:22:45 | Микроклимат 501 3 | Авария управления
9:23:39 | Микроклимат 501 3 | Авария управления
9:24:39 | Микроклимат 501 3 | Авария управления
9:25:45 | Микроклимат 501 3 | Авария управления
9:26:39 | Микроклимат 501 3 | Авария управления
9:27:39 | Микроклимат 501 3 | Авария управления
9:28:45 | Микроклимат 501 3 | Авария управления
9:29:40 | Микроклимат 501 3 | Авария управления
9:29:51 | MAX-FITO | Закрыт
9:38:33 | MAX-FITO | Стартовал
9:39:48 | Микроклимат 501 3 | Авария управления
9:40:30 | MAX-FITO | Закрыт
9:41:35 | MAX-FITO | Стартовал
9:42:36 | Микроклимат 501 3 | Авария управления
9:43:36 | Микроклимат 501 3 | Авария управления
9:44:35 | Микроклимат 501 3 | Авария управления
9:45:35 | Микроклимат 501 3 | Авария управления
9:46:38 | Микроклимат 501 3 | Обратить внимание
9:46:54 | MAX-FITO | Закрыт
10:33:35 | MAX-FITO | Стартовал
10:34:12 | MAX-FITO | Закрыт
10:36:56 | MAX-FITO | Стартовал
10:37:02 | MAX-FITO | Закрыт
10:45:05 | MAX-FITO | Стартовал
10:46:05 | Микроклимат 501 3 | Обратить внимание
11:24:47 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
11:24:47 | Микроклимат 501 3 | Нет приема данных
11:25:05 | Микроклимат 501 3 | Обратить внимание
11:26:47 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
11:26:47 | Микроклимат 501 3 | Нет приема данных
11:27:47 | Микроклимат 501 3 | Нет приема данных
11:28:47 | Микроклимат 501 3 | Нет приема данных
11:29:27 | Микроклимат 501 3 | Обратить внимание
11:31:47 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
11:31:47 | Микроклимат 501 3 | Нет приема данных
11:32:05 | Микроклимат 501 3 | Обратить внимание
12:17:47 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
12:17:47 | Микроклимат 501 3 | Нет приема данных
12:18:47 | Микроклимат 501 3 | Нет приема данных
12:19:27 | Микроклимат 501 3 | Обратить внимание
12:28:47 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
12:28:47 | Микроклимат 501 3 | Нет приема данных
12:29:47 | Микроклимат 501 3 | Нет приема данных
12:30:27 | Микроклимат 501 3 | Обратить внимание
12:35:07 | MAX-FITO | Стартовал
12:36:07 | Микроклимат 501 3 | Обратить внимание
12:45:45 | MAX-FITO | Закрыт
16:11:30 | MAX-FITO | Стартовал
16:12:52 | Микроклимат 501 3 | Обратить внимание
16:23:33 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
16:24:16 | Микроклимат 501 3 | Нет приема данных
16:25:12 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
16:27:30 | MAX-FITO | Стартовал
16:28:30 | Микроклимат 501 3 | Обратить внимание
16:36:12 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
16:36:12 | Микроклимат 501 3 | Нет приема данных
16:36:51 | Микроклимат 501 3 | Обратить внимание
16:46:09 | УльтраКлима 501-Ultra | Демо режим
16:46:30 | Микроклимат 501 3 | Управляет
16:46:49 | Микроклимат 501 Ultra | Управляет
16:47:07 | MAX-FITO | Закрыт
16:47:42 | MAX-FITO | Стартовал
16:47:47 | Микроклимат 501 3 | Управляет
16:48:43 | Микроклимат 501 Ultra | Управляет
16:51:31 | MAX-FITO | Закрыт
16:52:33 | MAX-FITO | Стартовал
16:52:38 | Микроклимат 501 3 | Управляет
17:20:41 | Метео MAX-FITO | Принимает
17:26:43 | Микроклимат 501 3 | Авария управления
17:27:44 | Микроклимат 501 3 | Управляет
17:28:39 | Микроклимат 501 3 | Обратить внимание
17:30:41 | Метео MAX-FITO | Нет данных
17:31:41 | Метео MAX-FITO | Нет данных
17:32:31 | MAX-FITO | Закрыт
